GeneName	MeanOverall	DispOverall	Disp1	Disp2	DispFC	DispLog2FC	ProbDiffDisp	ResultDiffDisp
AAK1	0.567	0.295	0.255	0.353	0.73	-0.454	0.352	NoDiff
AAMP	1.072	0.094	0.096	0.091	1.003	0.005	0.211	NoDiff
AASDH	0.187	0.329	0.371	0.268	1.4	0.486	0.508	NoDiff
ABCA12	0.009	23.061	21.025	25.963	0.91	-0.136	0.724	ExcludedFromTesting
ABCB10	0.158	10.358	14.235	4.831	2.927	1.549	1	GM12878+
ABCB6	0.004	8.287	10.546	5.067	2.183	1.127	0.834	NoDiff
ABCC5	0.037	0.444	0.597	0.224	2.429	1.28	0.789	NoDiff
ABCD3	0.096	0.301	0.278	0.333	0.973	-0.04	0.598	NoDiff
ABCF3	0.201	0.382	0.483	0.238	2.136	1.095	0.744	NoDiff
ABCG2	0.002	42.151	55.602	22.972	1.868	0.902	0.794	NoDiff
ABHD1	0.005	10.614	5.684	17.644	0.324	-1.625	0.829	NoDiff
ABHD10	0.11	0.252	0.19	0.34	0.64	-0.643	0.693	NoDiff
ABHD14A	0.497	0.487	0.643	0.264	2.517	1.332	0.975	ExcludedFromTesting
ABHD14B	1.099	0.143	0.15	0.133	1.117	0.159	0.131	NoDiff
ABHD5	0.157	0.464	0.471	0.454	1.009	0.013	0.513	NoDiff
ABHD6	0.059	3.087	3.511	2.482	1.388	0.473	0.432	NoDiff
ABI2	0.586	0.177	0.159	0.204	0.792	-0.337	0.352	NoDiff
ABI3BP	0.001	14.488	14.661	14.242	1.003	0.004	0.839	ExcludedFromTesting
ABL2	0.093	0.497	0.718	0.182	3.933	1.976	0.899	NoDiff
ABTB1	0.274	0.691	0.699	0.68	1.031	0.044	0.131	NoDiff
AC000032.2	0.003	16.565	19.607	12.227	2.232	1.159	0.829	NoDiff
AC004067.5	0.002	17.438	15.504	20.197	0.812	-0.3	0.849	ExcludedFromTesting
AC004069.2	0.024	1.421	1.796	0.887	2.259	1.176	0.799	ExcludedFromTesting
AC005037.3	0.015	2.065	2.556	1.366	1.684	0.752	0.739	NoDiff
AC005540.3	0.002	16.358	16.681	15.898	1.2	0.263	0.864	NoDiff
AC006160.5	0.002	22.108	14.852	32.453	0.266	-1.912	0.889	ExcludedFromTesting
AC006994.2	0.004	9.8	8.334	11.89	0.484	-1.047	0.874	NoDiff
AC007038.7	0.009	3.667	4.13	3.008	1.311	0.39	0.769	NoDiff
AC007246.3	0.207	0.515	0.612	0.376	1.631	0.706	0.588	ExcludedFromTesting
AC007365.3	0.008	4.879	4.378	5.594	0.807	-0.308	0.749	NoDiff
AC007381.3	0.011	3.646	3.797	3.431	1.108	0.148	0.774	NoDiff
AC007383.3	0.01	3.56	3.569	3.546	1.059	0.083	0.729	NoDiff
AC007383.4	0.004	10.326	12.665	6.991	1.846	0.885	0.789	NoDiff
AC007386.2	0.808	0.381	0.366	0.402	0.927	-0.109	0.025	NoDiff
AC007386.4	0.017	5.076	3.977	6.644	0.698	-0.518	0.714	NoDiff
AC007405.4	0.003	14.746	15.583	13.552	0.799	-0.325	0.864	NoDiff
AC007405.6	0.003	9.797	9.408	10.352	0.695	-0.525	0.849	ExcludedFromTesting
AC007620.3	0.006	6.78	5.329	8.848	0.562	-0.832	0.769	NoDiff
AC007879.2	0.007	6.284	7.431	4.647	1.734	0.794	0.769	NoDiff
AC007879.4	0.001	12.882	10.085	16.871	0.81	-0.304	0.744	NoDiff
AC007880.1	0.009	2.761	2.883	2.587	0.929	-0.107	0.714	NoDiff
AC008074.1	0.003	23.53	19.93	28.663	1.405	0.491	0.905	NoDiff
AC008074.3	0.004	9.856	6.949	14.001	0.514	-0.959	0.839	NoDiff
AC009299.2	0.003	20.376	24.95	13.855	5.401	2.433	0.864	NoDiff
AC009299.3	0.116	0.231	0.317	0.107	3.293	1.719	0.834	NoDiff
AC009404.2	0.034	0.658	0.58	0.77	0.773	-0.371	0.714	NoDiff
AC009495.2	0.004	17.254	21.74	10.859	2.229	1.157	0.799	NoDiff
AC009501.4	0.011	2.322	2.332	2.307	0.984	-0.023	0.774	NoDiff
AC009502.4	0.002	89.56	90.512	88.202	0.897	-0.156	0.779	ExcludedFromTesting
AC009506.1	0.033	0.729	0.712	0.755	0.965	-0.051	0.638	NoDiff
AC009948.5	0.135	0.252	0.149	0.399	0.355	-1.492	0.819	NoDiff
AC009950.2	0.011	2.54	3.278	1.486	2.154	1.107	0.774	NoDiff
AC009961.3	0.023	1.265	0.386	2.518	0.156	-2.681	0.899	NoDiff
AC010883.5	0.019	2.058	1.941	2.224	0.826	-0.275	0.729	NoDiff
AC010884.1	0.004	42.008	8.388	89.947	0.096	-3.388	0.925	NoDiff
AC010894.3	0.016	2.112	2.681	1.302	1.758	0.814	0.749	NoDiff
AC011747.4	0.009	4.637	6.743	1.636	4.318	2.11	0.839	ExcludedFromTesting
AC011893.3	0.046	4.816	6.844	1.925	3.611	1.852	1	ExcludedFromTesting
AC011997.1	0.023	15.2	6.464	27.658	0.228	-2.135	0.925	ExcludedFromTesting
AC012358.8	0.019	2.706	3.004	2.281	1.234	0.304	0.774	NoDiff
AC012360.4	0.008	3.743	4.064	3.285	1.205	0.27	0.739	NoDiff
AC012360.6	0.005	9.678	4.503	17.057	0.297	-1.75	0.905	NoDiff
AC012442.6	0.002	22.916	25.533	19.185	1.1	0.138	0.804	ExcludedFromTesting
AC012456.4	0.003	25.204	28.189	20.948	2.411	1.27	0.839	NoDiff
AC013264.2	0.022	1.676	1.163	2.408	0.494	-1.017	0.749	ExcludedFromTesting
AC013461.1	0.193	0.607	0.784	0.353	2.269	1.182	0.905	NoDiff
AC015969.3	0.004	8.258	5.783	11.788	0.74	-0.434	0.769	NoDiff
AC016683.5	0.007	14.539	22.959	2.533	9.348	3.225	0.965	GM12878+
AC016700.5	0.036	0.858	0.92	0.77	1.295	0.373	0.744	NoDiff
AC016745.3	0.001	14.347	10.447	19.909	0.563	-0.829	0.844	ExcludedFromTesting
AC016907.3	0.004	18.18	11.292	28.001	0.342	-1.55	0.884	NoDiff
AC018816.3	0.005	7.36	4.727	11.115	0.342	-1.547	0.829	NoDiff
