GeneName	MeanOverall	Mean1	Mean2	MeanFC	MeanLog2FC	ProbDiffMean	ResultDiffMean
AAK1	0.567	0.605	0.512	1.175	0.233	0	NoDiff
AAMP	1.072	0.991	1.186	0.832	-0.265	0	NoDiff
AASDH	0.187	0.179	0.197	0.906	-0.143	0	NoDiff
ABCA12	0.009	0.013	0.004	3.46	1.791	1	GM12878+
ABCB10	0.158	0.178	0.129	1.373	0.458	0.131	NoDiff
ABCB6	0.004	0.003	0.006	0.539	-0.892	0.724	NoDiff
ABCC5	0.037	0.033	0.042	0.792	-0.337	0.035	NoDiff
ABCD3	0.096	0.094	0.099	0.954	-0.068	0.025	NoDiff
ABCF3	0.201	0.231	0.159	1.448	0.534	0.251	NoDiff
ABCG2	0.002	0.003	0.001	4.075	2.027	0.874	NoDiff
ABHD1	0.005	0.007	0.003	2.174	1.12	0.869	NoDiff
ABHD10	0.11	0.125	0.089	1.422	0.508	0.201	NoDiff
ABHD14A	0.497	0.599	0.351	1.699	0.765	1	GM12878+
ABHD14B	1.099	0.937	1.329	0.701	-0.512	0.005	NoDiff
ABHD5	0.157	0.156	0.159	0.972	-0.041	0	NoDiff
ABHD6	0.059	0.056	0.061	0.906	-0.142	0.005	NoDiff
ABI2	0.586	0.575	0.603	0.951	-0.072	0	NoDiff
ABI3BP	0.001	0.001	0.003	0.283	-1.82	1	GM18502+
ABL2	0.093	0.095	0.09	1.072	0.101	0.231	NoDiff
ABTB1	0.274	0.283	0.261	1.077	0.108	0	NoDiff
AC000032.2	0.003	0.003	0.003	0.924	-0.115	0.342	NoDiff
AC004067.5	0.002	0.003	0.001	5.561	2.475	1	GM12878+
AC004069.2	0.024	0.014	0.038	0.374	-1.42	0.98	GM18502+
AC005037.3	0.015	0.011	0.019	0.596	-0.747	0.719	NoDiff
AC005540.3	0.002	0.002	0.002	1.143	0.193	0.286	NoDiff
AC006160.5	0.002	0.001	0.003	0.316	-1.661	0.995	GM18502+
AC006994.2	0.004	0.005	0.003	1.816	0.861	0.709	NoDiff
AC007038.7	0.009	0.008	0.01	0.828	-0.273	0.141	NoDiff
AC007246.3	0.207	0.262	0.128	2.033	1.023	1	GM12878+
AC007365.3	0.008	0.009	0.007	1.346	0.428	0.317	NoDiff
AC007381.3	0.011	0.011	0.012	0.927	-0.11	0.055	NoDiff
AC007383.3	0.01	0.011	0.01	1.034	0.048	0.06	NoDiff
AC007383.4	0.004	0.003	0.005	0.607	-0.721	0.608	NoDiff
AC007386.2	0.808	0.776	0.852	0.912	-0.133	0	NoDiff
AC007386.4	0.017	0.015	0.019	0.799	-0.323	0.226	NoDiff
AC007405.4	0.003	0.003	0.003	0.988	-0.017	0.442	NoDiff
AC007405.6	0.003	0.005	0.001	8.126	3.023	1	GM12878+
AC007620.3	0.006	0.006	0.005	1.33	0.411	0.312	NoDiff
AC007879.2	0.007	0.008	0.006	1.369	0.453	0.362	NoDiff
AC007879.4	0.001	0.001	0.002	0.239	-2.065	0.93	NoDiff
AC007880.1	0.009	0.01	0.006	1.721	0.783	0.729	NoDiff
AC008074.1	0.003	0.002	0.003	0.856	-0.225	0.508	NoDiff
AC008074.3	0.004	0.003	0.004	0.94	-0.09	0.281	NoDiff
AC009299.2	0.003	0.003	0.003	0.804	-0.315	0.538	NoDiff
AC009299.3	0.116	0.109	0.127	0.857	-0.223	0.07	NoDiff
AC009404.2	0.034	0.028	0.042	0.672	-0.573	0.477	NoDiff
AC009495.2	0.004	0.004	0.004	0.907	-0.141	0.256	NoDiff
AC009501.4	0.011	0.013	0.009	1.435	0.521	0.407	NoDiff
AC009502.4	0.002	0	0.003	0.16	-2.64	1	GM18502+
