S.Score	G2M.Score	Phase
C1	-0.125708433587837	-0.226255813990629	G1
C2	0.0642971989195831	0.15540917346533	G2M
C3	-0.0860883044601028	-0.225434076729798	G1
C4	-0.138033398674063	-0.200811926109704	G1
C5	-0.0811924258979455	-0.157887127235832	G1
C6	-0.121192744151051	-0.233993899450985	G1
C7	0.157253453829913	0.133053908675664	S
C8	0.273703343265174	0.0348689712018735	S
C9	-0.120578129342651	-0.190271720630769	G1
C10	-0.143353662044889	-0.053826912074552	G1
C11	-0.122024293368374	-0.205239109811376	G1
C12	0.120339200165905	-0.238951616553494	S
C13	-0.0662634316377825	-0.226568563593301	G1
C14	-0.0833035590626434	-0.151230086105751	G1
C15	-0.00867973799786403	-0.196046873483552	G1
C16	-0.141815828372885	-0.207187017487463	G1
C17	-0.105864153740334	-0.175548600480957	G1
C18	-0.0948746551059629	-0.202264771526984	G1
C19	0.180081090671237	-0.134669221447226	S
C20	-0.128564659633292	-0.209792566297975	G1
C21	-0.113239579186194	-0.196148190720217	G1
C22	0.1468368100548	-0.109104788528977	S
C23	-0.110628592761707	-0.153463481084284	G1
C24	-0.0955524928502064	-0.206444514160681	G1
C25	-0.078490625159758	0.349396673983924	G2M
C26	0.222792026630431	0.237245044128947	G2M
C27	-0.122167001136229	-0.174614492943721	G1
C28	-0.110539431548349	-0.131072021434274	G1
C29	-0.0692796099660141	-0.211301222698136	G1
C30	-0.122608294916055	-0.249447816983548	G1
C31	-0.0916832885175598	-0.250899371479728	G1
C32	-0.0911492754233274	-0.193348716997717	G1
C33	-0.0194546502795231	-0.189157258448594	G1
C34	-0.103407093892196	-0.174578656431701	G1
C35	-0.0874360955021671	-0.21238661302779	G1
C36	-0.0144380976198584	0.0499159491037458	G2M
C37	0.076308085612231	0.293699714700555	G2M
C38	-0.139953586354183	-0.211734231259525	G1
C39	-0.167072735908232	-0.225024197151245	G1
C40	-0.109437510504742	-0.213113257912278	G1
C41	-0.0245305131976183	0.28950972789405	G2M
C42	-0.0589598231488231	-0.195154123146871	G1
C43	0.073365410190264	0.0875063019526782	G2M
C44	-0.0566011360936801	-0.199852853397948	G1
C45	0.253648297741074	0.160217500914419	S
C46	0.0847006724927882	-0.0306006602716855	S
C47	0.246828742803398	0.0994825391564304	S
C48	-0.144940281205892	-0.166583391788461	G1
C49	-0.0875714497585199	-0.173829424597133	G1
C50	-0.045206615908301	-0.153328592696732	G1
C51	-0.0947434338115255	-0.150419485066071	G1
C52	-0.0287073381678463	-0.222664645385781	G1
C53	-0.0746010051264984	-0.202575429299753	G1
C54	-0.121173708443018	-0.228159048244077	G1
C55	-0.100926743718209	-0.218213555245302	G1
C56	-0.0841758902746853	-0.164183441966819	G1
C57	-0.0405533280676068	0.284706636220019	G2M
C58	-0.101883871496822	-0.225513833750744	G1
C59	-0.0806195660153247	0.226664380343294	G2M
C60	-0.0654369910834463	-0.200513267462761	G1
C61	-0.0752074266464892	-0.22610898988465	G1
C62	-0.0955269858151565	-0.143073584790263	G1
C63	-0.113701323966377	-0.211337817227913	G1
C64	-0.132032744189516	-0.187648613042358	G1
C65	-0.104274603973611	-0.1881232972833	G1
C66	-0.116771199294967	-0.178878417596934	G1
C67	0.200027958339884	-0.029922334648584	S
C68	-0.0818490053132971	-0.184244503649855	G1
C69	0.323493742301003	0.0196690891305917	S
C70	0.145445946808223	0.285213187710335	G2M
C71	-0.0963587458754877	-0.18294097047735	G1
C72	-0.0284180216551889	0.439745177080505	G2M
C73	-0.136138475952001	-0.176786284388184	G1
C74	-0.12713074339256	-0.20984006325148	G1
C75	-0.024327850454494	-0.263565835560306	G1
C76	0.0576689890349896	-0.146616224890806	S
C77	-0.0989051775063941	-0.130518194149813	G1
C78	0.205981681145431	-0.177902138481998	S
C79	0.0713145674662216	-0.101780279765233	S
C80	-0.0690727485163025	-0.117757942674334	G1
C81	-0.125370686536272	-0.184366108873863	G1
C82	-0.0494844515786043	0.269818999927366	G2M
C83	0.264712924313806	0.0575582037249547	S
C84	-0.179309383375987	-0.214802964660923	G1
C85	0.126223037549395	0.0892197168291156	S
C86	-0.165630342566177	-0.215177558873425	G1
C87	-0.107346869037342	-0.211718246526669	G1
C88	-0.0863977455775077	-0.165451583898929	G1
C89	0.291827054542934	0.16794330820586	S
C90	-0.137175125127028	-0.176777519907995	G1
C91	-0.128768287456665	-0.242485517476282	G1
C92	0.222217827596652	0.0269015664352266	S
C93	0.235148325909812	0.0112666007465445	S
C94	-0.11332797315831	-0.203072428597652	G1
C95	-0.0998634542394904	-0.210979207724639	G1
C96	-0.134294200636464	-0.186393412649088	G1
C97	-0.126618607869283	-0.198121284920994	G1
C98	0.162956560381747	0.0474017922020767	S
C99	-0.134744214510828	-0.185605062776441	G1
C100	0.00483022842239794	-0.252913248740538	S
C101	-0.0950417883987135	-0.193138836313699	G1
C102	-0.0756996366792879	-0.0347712302549223	G1
C103	-0.163905173324339	-0.262291060291688	G1
C104	-0.121165190865079	-0.159681376252624	G1
C105	0.197861221677043	0.338703856943087	G2M
C106	-0.171618726687732	-0.27464750098652	G1
C107	0.156651030010412	-0.0403652495165071	S
C108	-0.136499366954774	-0.175944864401958	G1
C109	-0.102792853467492	-0.178790543816501	G1
C110	-0.085740994772253	-0.193441161998726	G1
C111	0.285685115419291	-0.139836489135546	S
C112	-0.16136949614347	-0.179740527225566	G1
C113	-0.137280117590835	-0.220554407834136	G1
C114	-0.0640689764670232	-0.176970387431953	G1
C115	-0.0951766627533182	-0.147104471074423	G1
C116	0.0412758228267264	0.130897859189709	G2M
C117	-0.137520134707297	-0.176135050841594	G1
C118	0.0670096020782351	0.339041952215629	G2M
C119	-0.122254864741774	-0.219225560571567	G1
C120	0.0172971486764592	0.283272878258597	G2M
C121	0.187630555885141	-0.136469502221678	S
C122	-0.132874893530495	-0.211084886618212	G1
C123	-0.125037898272866	-0.213832751577786	G1
C124	-0.135714519663309	-0.246090040578044	G1
C125	-0.0569653028047065	0.257386335981626	G2M
C126	-0.0924984687658934	-0.179794066442467	G1
C127	0.291207380797818	-0.0630421169798984	S
C128	-0.0227447548224131	0.193990722503916	G2M
C129	-0.111691093414034	-0.216530111867638	G1
C130	-0.130826628118631	-0.213935332477312	G1
C131	-0.0896306887180584	-0.24218846854949	G1
C132	0.271729135568498	0.0166545451509214	S
C133	-0.1214463623378	-0.174540228707145	G1
C134	0.0899004686557804	0.48858622401112	G2M
C135	-0.0875563752841444	-0.190200528370369	G1
C136	-0.124598846256283	-0.245651194101009	G1
C137	-0.0761222184442436	-0.116148607895624	G1
C138	0.359117713870359	0.17065773331123	S
C139	-0.107614191953333	-0.208979165806263	G1
C140	-0.07502543059841	-0.191662118391799	G1
C141	-0.0907715274518964	-0.195279007622658	G1
C142	-0.0592743842728796	0.0983703419269333	G2M
C143	-0.136612713262332	-0.2293939678635	G1
C144	-0.064034212429113	-0.20041609524876	G1
C145	-0.0740212416217541	-0.196990131855359	G1
C146	-0.0655139384827261	-0.234652519990719	G1
C147	0.0743083125516196	0.206589941067661	G2M
C148	-0.0745783314194926	-0.144329758817723	G1
C149	-0.0170408993689913	0.515456719320029	G2M
C150	0.0555748877394771	0.136858844814745	G2M
C151	-0.11283611428856	-0.227503211379624	G1
C152	-0.0898935475400578	-0.219493258698377	G1
C153	-0.0814142651469378	-0.210115336913407	G1
C154	-0.00177460443721081	0.290391479955311	G2M
C155	-0.120017919678282	-0.166064897973309	G1
C156	-0.149639153678154	-0.248893435138292	G1
C157	-0.0535484590961328	-0.133690235340005	G1
C158	-0.0150006132823068	0.537467076022465	G2M
C159	-0.101809427111377	-0.175809018572883	G1
C160	-0.146345685945068	-0.226939438008682	G1
C161	0.0106088465731114	-0.296250804311348	S
C162	-0.0859032824896003	-0.130840096013118	G1
C163	-0.0697090359531267	-0.19596076136028	G1
C164	0.228635140488573	0.112418730417469	S
C165	0.113756661783742	0.31491883234509	G2M
C166	-0.137099351323717	-0.216400390593021	G1
C167	-0.141210137729823	-0.189278803062538	G1
C168	-0.0992829926991027	-0.180118191968353	G1
C169	-0.0693849988678061	-0.149280482908702	G1
C170	0.0279288851322158	0.341257004525907	G2M
C171	-0.0676154038500776	-0.235980646885149	G1
C172	0.18231137985615	-0.0120852279718491	S
C173	0.339356169756007	-0.00637221103191238	S
C174	-0.0800657420686297	-0.263564978552445	G1
C175	0.00918391061509377	0.112680169293169	G2M
C176	0.023512010600856	0.487075333630484	G2M
C177	0.0746225361181081	0.367966783295367	G2M
C178	-0.0953827587487072	-0.165320109735933	G1
C179	-0.124197532821885	-0.223069327079935	G1
C180	-0.110979424314305	-0.19901110608738	G1
C181	-0.10918108505952	-0.175958493779855	G1
C182	-0.147174128646836	-0.244780027492409	G1
C183	-0.0883693102167867	-0.15942389994143	G1
C184	-0.151630149940956	-0.182443341475604	G1
C185	-0.0618890387826378	-0.201123753019233	G1
C186	0.304378195981202	0.143388102560448	S
C187	-0.120826218824644	-0.175243308420925	G1
C188	-0.109266463284144	-0.207039803280709	G1
C189	-0.0642901816653563	0.495476029539111	G2M
C190	-0.113507944000151	-0.193298367963028	G1
C191	-0.00386628214885909	0.552069519591106	G2M
C192	0.210777648764585	0.0153367775947177	S
C193	-0.133703208216633	-0.225323210162873	G1
C194	-0.0998386273980741	-0.130476138244515	G1
C195	-0.139344140377151	-0.127985971102233	G1
