S.Score	G2M.Score	Phase
C1	0.0186770007129976	0.285670116303129	G2M
C2	-0.114038608214259	-0.245834685252586	G1
C3	-0.127422309052727	-0.196255310948649	G1
C4	0.0461302870528712	0.556200612895046	G2M
C5	-0.123685071459861	-0.205335478983733	G1
C6	-0.070798560828878	-0.243238823179706	G1
C7	-0.0802673177104228	-0.18190291826983	G1
C8	0.00865226163063279	-0.101701745409596	S
C9	0.182445268491624	0.155236545641281	S
C10	0.0553919560303429	0.332133337870641	G2M
C11	0.252986276972708	0.0531765512169675	S
C12	-0.0967022217164967	-0.224730864503392	G1
C13	-0.129756201824584	-0.217942304389211	G1
C14	-0.0744615249695787	0.296671615662226	G2M
C15	0.230587265955551	0.0114577498531666	S
C16	-0.101841000123732	-0.150177485768282	G1
C17	0.0334987355162274	0.347251687360452	G2M
C18	-0.151606514736067	-0.248644711351367	G1
C19	-0.00168609109344198	0.347226096328122	G2M
C20	0.181605831516176	-0.0108228469578029	S
C21	-0.108485274799671	-0.244031191298408	G1
C22	0.0190817567385848	-0.241335396284036	S
C23	-0.145164885466596	-0.237345747142606	G1
C24	-0.115486377613736	-0.187677711484238	G1
C25	-0.0994663473493669	-0.182883753039329	G1
C26	-0.0911717878670962	-0.225252213080574	G1
C27	-0.113724353720857	-0.172099956869098	G1
C28	-0.0569147662162725	-0.15670662071675	G1
C29	-0.116309100301946	0.0504315188976063	G2M
C30	-0.070822132198314	0.63590328828695	G2M
C31	-0.100609530798486	-0.23871420151343	G1
C32	-0.0125678033876102	-0.0153648562732239	G1
C33	0.022185928937898	0.337181562789217	G2M
C34	-0.107018273943217	-0.235616880809642	G1
C35	0.320279210212402	0.259375720844404	S
C36	-0.0914616785717661	-0.214005462770049	G1
C37	-0.0674965062790038	0.298067143070781	G2M
C38	0.0461719955928023	0.121706896679055	G2M
C39	-0.019518996932685	0.0987384483150046	G2M
C40	0.0993306280825476	0.00575345100596736	S
C41	0.196208288111361	0.118733446120641	S
C42	-0.0362243736192166	0.34284333440207	G2M
C43	-0.0895477609088401	-0.217516632108647	G1
C44	-0.110063728885469	-0.190478838340647	G1
C45	-0.131931774532098	-0.197407690444536	G1
C46	0.134705385235663	0.269343898723955	G2M
C47	-0.145060789527657	-0.217277678612528	G1
C48	-0.0913824105930952	-0.251118819835561	G1
C49	0.187277434311473	0.0195938114335957	S
C50	-0.133446301540449	-0.239286087712155	G1
C51	-0.0934121408318095	-0.175199863952436	G1
C52	-0.128003665237336	-0.198891295855585	G1
C53	-0.0637503545599768	-0.164951550120268	G1
C54	-0.166476940344095	-0.19698891616433	G1
C55	-0.122255331228053	-0.199908037248402	G1
C56	-0.0330575986821108	-0.171721183529228	G1
C57	-0.120614112514423	-0.248079554200497	G1
C58	-0.101900232936935	-0.233241009410602	G1
C59	-0.103915758784434	-0.184812416795291	G1
C60	0.210724290305176	0.0445078228354063	S
C61	-0.101034009733739	-0.183552455307882	G1
C62	-0.0818765140644465	-0.159778386434572	G1
C63	-0.109466871587767	-0.177519707453249	G1
C64	-0.106328980467095	-0.20666650682402	G1
C65	-0.0924256487672395	-0.180833332496136	G1
C66	-0.159645582006108	-0.25997030749648	G1
C67	-0.0714613081716169	0.083257842281867	G2M
C68	-0.124395664932472	-0.214228404712544	G1
C69	-0.0955261613669755	-0.175450967221242	G1
C70	-0.132606832124124	-0.259153921236845	G1
C71	-0.106911568949061	-0.177420709995187	G1
C72	-0.143358087045615	-0.224213267323745	G1
C73	-0.0910132373332056	-0.187559167447773	G1
C74	-0.0928447864208641	-0.2165629818436	G1
C75	-0.0915855361547043	-0.170610248530815	G1
C76	-0.127937786238727	-0.199694525790662	G1
C77	-0.0652439438653577	-0.222025263113833	G1
C78	0.168348163151163	0.204043622186494	G2M
C79	-0.0926443696985214	-0.177083979307349	G1
C80	0.167619842297639	-0.0982776415463858	S
C81	-0.107704861175884	-0.195403923688648	G1
C82	0.11128318722865	-0.154472105168138	S
C83	0.268779367577778	-0.166361693883416	S
C84	-0.115208793500124	-0.165106512852831	G1
C85	-0.0947851094687915	-0.233555749163581	G1
C86	-0.00621757445979088	0.294684511463552	G2M
C87	-0.0869098032169012	-0.199281102780146	G1
C88	-0.0751928682422641	-0.156147797609623	G1
C89	0.0169532589443886	0.285064836786046	G2M
C90	0.0133299693996841	0.330502330206704	G2M
C91	-0.100334911266518	-0.152583017830815	G1
C92	-0.11940272894517	-0.150319819972307	G1
C93	-0.0920837382704998	-0.187010110660129	G1
C94	-0.13969487530075	-0.200671981359825	G1
C95	-0.0714271095805197	-0.194188721009735	G1
C96	-0.124884847809461	-0.168320914400374	G1
C97	-0.11522710280767	-0.223240905733806	G1
C98	-0.0883589704656257	-0.194075362028767	G1
C99	-0.151120972202343	-0.245770571313328	G1
C100	-0.027146921924208	0.478961720194653	G2M
C101	-0.080259856748016	-0.11340519235398	G1
C102	-0.150959252042888	-0.21065286067696	G1
C103	-0.134273914783992	-0.215540444568042	G1
C104	0.232778977550849	0.108506596169021	S
C105	-0.129926668141989	-0.21732935892053	G1
C106	-0.014537211610569	0.12699596172836	G2M
C107	-0.0446571341363892	0.0676413888471873	G2M
C108	-0.125719615729713	-0.164174269142617	G1
C109	-0.0658658205143434	-0.2057833362745	G1
C110	-0.106777105252473	-0.138482388765805	G1
C111	-0.133374443609999	-0.223703753175064	G1
C112	0.325138942885488	-0.130920942419527	S
C113	-0.0923984581840589	-0.101039902881474	G1
C114	-0.0409608491688364	-0.195809239220831	G1
